bm,bzw,zs,gxsj
t_wcnrxwjl_xx,未成年人行为记录表,1634,22:17.8
t_xj_yf_bl_xunwen,刑警-Y笔录-询问表,378778,22:17.8
t_yf_jdcjsz_xx,Y市机动车驾驶证信息,1183016,22:17.8
t_yf_rydjxx,Y市人员登记信息表,3740762,22:17.8
t_yf_rydjxx_cleaned,Y市人员登记信息表_清洗后,3740762,22:17.8
t_yf_sdfxry_xx,涉毒风险隐患人员（涉毒专题）,22630,22:17.8
t_yf_sdfxry_ycxwjl_xx,涉毒风险隐患人员异常行为记录表(涉毒专题),246582,22:17.8
t_yf_sdfxzdry_xx,涉毒风险隐患重点人员输出表(涉毒专题),3885,22:17.8
t_yf_spy_qs_device,Y市视频云设备清单,7753,22:17.8
t_yf_tcreserverecord,行政服务中心预约记录,107641,22:17.8
t_yf_zdblxwwcnr_xx,重点不良行为未成年人信息（静态表）,23310,22:17.8
t_yf_zdblxwwcnr_xx_error,,613,22:17.8
task_metadata,治综任务元数据表,421,22:17.8
temp,临时表,58,22:17.8
temp_jztssjhc,临时-技侦推送数据核查,232,22:17.8
v_jz_shdxry,涉黄赌嫌疑人-视图,22745,22:17.8
v_jz_shxyrrztj,涉黄赌嫌疑人入住统计-视图,640,22:17.8
v_jz_shxyrrztj_mx,涉黄赌嫌疑人入住统计明细-视图,17475,22:17.8
v_per_qsldwcnrxs,,24990,22:17.8
v_wcnr_sx_songjiao_ratio_base,涉刑人员送生占比基础视图：固定的年龄筛选、文书筛选和送校标记逻辑,48,22:17.8
v_wcnr_wfry_jbxx,,2857,22:17.8
v_wcnr_wfry_jbxx_base,,3906,22:17.8
v_wcnr_yzbl_ratio_base,严重不良未成年人矫治教育占比基础视图：固定的去重、资格判定和文书标记逻辑,2849,22:17.8
v_wcnr_zljiaqjh_ratio_base,责令加强监护率基础视图：按案件聚合未成年嫌疑人数（分母）和家庭教育指导通知书数（分子）,2026,22:17.8
v_wcnr_zmjz_ratio_base,专门(矫治)教育占比基础视图：固定的去重、资格判定和最终标记逻辑,1881,22:17.8
veh_elecbicycle,,142349,22:17.8
veh_elecbicycle_info,电动自行车登记信息表,282333,22:17.8
veh_flow,机动车业务流水信息表,5438440,22:17.8
vehicle,机动车基本信息,2096950,22:17.8
vio_surveil,非现场文本记录表,4168715,22:17.8
vio_violation,违法记录表,5926122,22:17.8
zfba_aj_001,行政案件基本信息,226809,22:17.8
zfba_aj_002,刑事案件基本信息,136956,22:17.8
zfba_aj_003,案件案由信息,394880,22:17.8
zfba_aj_004,案件状态信息,362976,22:17.8
zfba_aj_005,案件标签信息,94965,22:17.8
zfba_aj_006,关联案件信息,16961,22:17.8
zfba_aj_007,嫌疑人涉案信息,441197,22:17.8
zfba_aj_008,嫌疑人被采取措施信息,399082,22:17.8
zfba_aj_009,嫌疑人（单位）被行政处罚信息,218791,22:17.8
zfba_aj_010,案件证据材料信息,2007613,22:17.8
zfba_code_dict,警综字典表,15649,22:17.8
zfba_ry_001,办案相关人员信息,3436891,22:17.8
zfba_ry_002,案事件相关人员基本信息,243028,22:17.8
zfba_ry_004,嫌疑人信息,416159,22:17.8
zfba_ry_013,嫌疑人违纪违法犯罪记录信息,235823,22:17.8
zfba_ry_014,报案人信息,119236,22:17.8
zfba_ry_015,受害人信息,170669,22:17.8
zfba_ry_016,失踪人信息,6153,22:17.8
zfba_ry_017,证人信息,11469,22:17.8
zfba_ry_018,辩护人诉讼代理人信息,148,22:17.8
zfba_ry_019,保证人担保人信息,3761,22:17.8
zfba_ry_020,嫌疑人社会关系信息,328,22:17.8
zfba_ws_001,法律文书基本信息,4228125,22:17.8
zfba_zz_001,案事件相关单位信息,5288,22:17.8
zfba_zz_002,嫌疑单位信息,5757,22:17.8
zfba_zz_003,嫌疑单位关联人员信息,607,22:17.8
zq_jsxx_jls,zq_jsxx_jls,5570,22:17.8
zq_jsxx_kss,zq_jsxx_kss,5120,22:17.8
zq_kshddpt_dsjfx_jq,可视化调度平台-大数据分析-警情,1306312,22:17.8
zq_kshddpt_pois_xyd,夜间宵夜档点位信息,252,22:17.8
zq_kshddpt_pois_zdytc,可视化调度平台-自定义图层(娱乐场所),65,22:17.8
zq_kshddpt_poixx,可视化调度平台-poi信息,89609,22:17.8
zq_kshddpt_spsbxx,可视化调度平台-视频设备信息,31933,22:17.8
zq_kshddpt_zxzgl,可视化调度平台-在线在岗率,446878,22:17.8
zq_wcnr_sfzxx,送方正学校,646,22:17.8
zq_zfba_ajxx,案件信息,31607,22:17.8
zq_zfba_byxzcfjds,不予行政处罚决定书,2594,22:17.8
zq_zfba_dbz,逮捕证,3640,22:17.8
zq_zfba_jlz,刑事拘留证,7797,22:17.8
zq_zfba_jtjyzdtzs,zq_zfba_jtjyzdtzs,653,22:17.8
zq_zfba_jtjyzdtzs2,家庭教育指导通知书,564,22:17.8
zq_zfba_qsryxx,起诉人员信息,6523,22:17.8
zq_zfba_saryxx,涉案人员信息,36230,22:17.8
zq_zfba_tqzmjy,提请专门教育,500,22:17.8
zq_zfba_wcnr_ajxx,未成年人案件信息,2488,22:17.8
zq_zfba_wcnr_sfzxx,未成年人-送方正学校(专门教育学校),679,22:17.8
zq_zfba_wcnr_sfzxx_lxxx,未成年人-送方正学校(专门教育学校)离校人员,567,22:17.8
zq_zfba_wcnr_shr_ajxx,未成年人-受害人案件信息,1337,22:17.8
zq_zfba_wcnr_xyr,未成年人嫌疑人,4905,22:17.8
zq_zfba_wenshu,所有案件文书,243294,22:17.8
zq_zfba_xjs,zq_zfba_xjs,591,22:17.8
zq_zfba_xjs2,训诫书,602,22:17.8
zq_zfba_xyrxx,嫌疑人信息,57772,22:17.8
zq_zfba_xzcfjds,行政处罚决定书,32709,22:17.8
zq_zfba_ysajtzs,移送案件通知书,175,22:17.8
zq_zfba_zlwcnrzstdxwgftzs,责令未成年人遵守特定行为通知书,44,22:17.8
zzzz_hj,合计,241290271,22:17.8
